DEPARTAMEN,PROVINCIA,DISTRITO,min,max,mean,count,std,percentile_10,percentile_90,range,riesgo_friaje
CUSCO,QUISPICANCHI,OCONGATE,-5.421295642852783,3.9779348373413086,-0.5326443092495787,51,2.1645740167292686,,,,Muy Alto
JUNIN,CHUPACA,YANACANCHA,-1.127043604850769,3.307504415512085,0.11385310568460603,41,1.0608587972069998,,,,Alto
JUNIN,CHUPACA,TRES DE DICIEMBRE,4.892237186431885,4.997289657592773,4.94476318359375,2,0.05252623558098543,,,,Moderado
JUNIN,HUANCAYO,HUANCAN,4.892237186431885,5.874976634979248,5.431985855102539,4,0.4040442097257231,,,,Moderado
LIMA,LIMA,SAN ISIDRO,18.42902183532715,18.853925704956055,18.651330947875977,4,0.18981347754660896,,,,Bajo
LIMA,LIMA,MAGDALENA DEL MAR,18.49770164489746,18.853925704956055,18.675813674926758,2,0.17811203002929688,,,,Bajo
JUNIN,CHUPACA,SAN JUAN DE ISCOS,0.26412567496299744,4.997289657592773,3.0670646031697593,6,1.9210923162868752,,,,Moderado
LIMA,LIMA,SAN BORJA,17.92522621154785,18.824676513671875,18.395530700683594,4,0.31879964686042217,,,,Bajo
LIMA,LIMA,LINCE,18.42902183532715,18.49770164489746,18.463361740112305,2,0.03433990478515625,,,,Bajo
LIMA,LIMA,SANTIAGO DE SURCO,17.92522621154785,18.82556915283203,18.481538391113283,5,0.33301040335328874,,,,Bajo
HUANCAVELICA,TAYACAJA,SALCABAMBA,3.5273988246917725,14.590080261230469,8.776209513346354,18,3.0702265842766048,,,,Bajo
LIMA,YAUYOS,VITIS,-0.8176241517066956,2.7707128524780273,0.3384921153386434,12,0.9278712130929864,,,,Alto
LIMA,LIMA,PUEBLO LIBRE,18.49770164489746,18.700286865234375,18.598995208740234,2,0.10129261017294647,,,,Bajo
CALLAO,CALLAO,LA PUNTA,18.626934051513672,18.626934051513672,18.626934051513672,1,0.0,,,,Bajo
SAN MARTIN,MOYOBAMBA,JEPELACIO,15.784594535827637,19.11176872253418,17.74324765412704,23,0.9790729182185092,,,,Bajo
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,13.462738037109375,15.171154975891113,14.35821533203125,7,0.6332787937434606,,,,Bajo
LAMBAYEQUE,LAMBAYEQUE,PACORA,18.963167190551758,19.69893455505371,19.184814453125,8,0.2266193888120247,,,,Bajo
AMAZONAS,CHACHAPOYAS,LA JALCA,7.4238505363464355,11.661335945129395,9.817580540974935,12,1.348918503526565,,,,Bajo
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,7.4238505363464355,15.84871768951416,12.404068796258224,38,2.139664495357349,,,,Bajo
LORETO,MAYNAS,SAN JUAN BAUTISTA,22.55299186706543,23.13446617126465,22.852079716435185,135,0.07350576924207632,,,,Bajo
LORETO,MAYNAS,IQUITOS,22.43096923828125,23.069406509399414,22.891307689525462,27,0.13424822651560744,,,,Bajo
TUMBES,TUMBES,PAMPAS DE HOSPITAL,19.876102447509766,22.9019832611084,21.30745335629112,38,0.9075760398263201,,,,Bajo
TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,21.326833724975586,22.639680862426758,22.218802558051216,36,0.2534054380057325,,,,Bajo
TUMBES,TUMBES,SAN JACINTO,18.090879440307617,22.982765197753906,21.253898806688262,41,1.4695271459255386,,,,Bajo
AMAZONAS,BAGUA,LA PECA,14.666563987731934,21.43816566467285,19.397467476981028,14,2.12607004566233,,,,Bajo
TUMBES,ZARUMILLA,MATAPALO,19.956510543823242,22.45783042907715,21.188824971516926,24,0.7553294952098447,,,,Bajo
TUMBES,TUMBES,LA CRUZ,22.353666305541992,22.982765197753906,22.615099225725448,7,0.19153543844250495,,,,Bajo
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,11.154025077819824,12.82638168334961,11.985594431559244,6,0.6148067219997284,,,,Bajo
CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,9.220162391662598,15.350308418273926,12.330912780761718,10,1.661496832057008,,,,Bajo
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,7.505765438079834,15.171154975891113,11.433960914611816,16,1.8583656168703149,,,,Bajo
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,11.154025077819824,13.65783977508545,12.370305379231771,12,0.8358490650241461,,,,Bajo
CAJAMARCA,CUTERVO,LA RAMADA,12.870980262756348,17.55039405822754,15.411685180664062,5,1.9879307496030292,,,,Bajo
